Domicile,First year marker,Level of study,Mode of study,Country of HE provider,Academic Year,Number
England,First year,Postgraduate (taught),Full-time,Scotland,2017/18,1605
England,First year,Postgraduate (taught),Full-time,Scotland,2018/19,1540
England,First year,Postgraduate (taught),Full-time,Wales,2014/15,1075
England,First year,Postgraduate (taught),Full-time,Wales,2015/16,955
England,First year,Postgraduate (taught),Full-time,Wales,2016/17,1375
England,First year,Postgraduate (taught),Full-time,Wales,2017/18,1500
England,First year,Postgraduate (taught),Full-time,Wales,2018/19,1505
England,First year,Postgraduate (taught),Part-time,England,2014/15,75410
England,First year,Postgraduate (taught),Part-time,England,2015/16,75975
England,First year,Postgraduate (taught),Part-time,England,2016/17,81900
England,First year,Postgraduate (taught),Part-time,England,2017/18,77975
England,First year,Postgraduate (taught),Part-time,England,2018/19,78735
England,First year,Postgraduate (taught),Part-time,Northern Ireland,2014/15,460
England,First year,Postgraduate (taught),Part-time,Northern Ireland,2015/16,530
England,First year,Postgraduate (taught),Part-time,Northern Ireland,2016/17,570
England,First year,Postgraduate (taught),Part-time,Northern Ireland,2017/18,570
England,First year,Postgraduate (taught),Part-time,Northern Ireland,2018/19,650
England,First year,Postgraduate (taught),Part-time,Scotland,2014/15,1480
England,First year,Postgraduate (taught),Part-time,Scotland,2015/16,1620
England,First year,Postgraduate (taught),Part-time,Scotland,2016/17,1690
England,First year,Postgraduate (taught),Part-time,Scotland,2017/18,1835
England,First year,Postgraduate (taught),Part-time,Scotland,2018/19,1785
England,First year,Postgraduate (taught),Part-time,Wales,2014/15,1305
England,First year,Postgraduate (taught),Part-time,Wales,2015/16,1355
England,First year,Postgraduate (taught),Part-time,Wales,2016/17,1470
England,First year,Postgraduate (taught),Part-time,Wales,2017/18,1370
England,First year,Postgraduate (taught),Part-time,Wales,2018/19,1505
England,Other years,Postgraduate (taught),Full-time,England,2014/15,12185
England,Other years,Postgraduate (taught),Full-time,England,2015/16,12300
England,Other years,Postgraduate (taught),Full-time,England,2016/17,13360
England,Other years,Postgraduate (taught),Full-time,England,2017/18,15510
England,Other years,Postgraduate (taught),Full-time,England,2018/19,16775
England,Other years,Postgraduate (taught),Full-time,Northern Ireland,2014/15,20
England,Other years,Postgraduate (taught),Full-time,Northern Ireland,2015/16,20
England,Other years,Postgraduate (taught),Full-time,Northern Ireland,2016/17,15
England,Other years,Postgraduate (taught),Full-time,Northern Ireland,2017/18,45
England,Other years,Postgraduate (taught),Full-time,Northern Ireland,2018/19,60
England,Other years,Postgraduate (taught),Full-time,Scotland,2014/15,305
England,Other years,Postgraduate (taught),Full-time,Scotland,2015/16,300
England,Other years,Postgraduate (taught),Full-time,Scotland,2016/17,200
England,Other years,Postgraduate (taught),Full-time,Scotland,2017/18,355
England,Other years,Postgraduate (taught),Full-time,Scotland,2018/19,395
England,Other years,Postgraduate (taught),Full-time,Wales,2014/15,230
England,Other years,Postgraduate (taught),Full-time,Wales,2015/16,250
England,Other years,Postgraduate (taught),Full-time,Wales,2016/17,305
