,UKPRN,HE provider,Country of HE provider,Academic Year,Level of study,Female,Male,Other,% Female,% Male,% Other
140,10003645.0,King's College London,England,2018/19,Other undergraduate,915,220,45,77.54237288135593,18.64406779661017,3.8135593220338984
141,10003645.0,King's College London,England,2018/19,Postgraduate (research),1400,1105,110,53.53728489483748,42.25621414913958,4.2065009560229445
142,10003645.0,King's College London,England,2018/19,Postgraduate (taught),7045,3740,295,63.58303249097473,33.754512635379065,2.6624548736462095
143,10003678.0,Kingston University,England,2018/19,All,9850,6900,70,58.56123662306778,41.02259215219976,0.4161712247324614
144,10003678.0,Kingston University,England,2018/19,All postgraduate,2520,1595,15,61.016949152542374,38.619854721549636,0.36319612590799033
145,10003678.0,Kingston University,England,2018/19,All undergraduate,7330,5305,55,57.762017336485414,41.80457052797478,0.43341213553979513
146,10003678.0,Kingston University,England,2018/19,First degree,6855,5150,50,56.864371630029034,42.720862712567396,0.414765657403567
147,10003678.0,Kingston University,England,2018/19,Other undergraduate,475,155,0,75.39682539682539,24.6031746031746,0.0
148,10003678.0,Kingston University,England,2018/19,Postgraduate (research),220,185,5,53.65853658536586,45.1219512195122,1.2195121951219512
149,10003678.0,Kingston University,England,2018/19,Postgraduate (taught),2300,1410,10,61.82795698924731,37.903225806451616,0.2688172043010753
150,10003854.0,Leeds Arts University,England,2018/19,All,1430,415,0,77.50677506775068,22.493224932249323,0.0
151,10003854.0,Leeds Arts University,England,2018/19,All postgraduate,35,15,0,70.0,30.0,0.0
152,10003854.0,Leeds Arts University,England,2018/19,All undergraduate,1395,405,0,77.5,22.5,0.0
153,10003854.0,Leeds Arts University,England,2018/19,First degree,1395,405,0,77.5,22.5,0.0
154,10003854.0,Leeds Arts University,England,2018/19,Postgraduate (taught),35,15,0,70.0,30.0,0.0
155,10003861.0,Leeds Beckett University,England,2018/19,All,12960,10315,0,55.682062298603654,44.317937701396346,0.0
156,10003861.0,Leeds Beckett University,England,2018/19,All postgraduate,3505,1855,0,65.39179104477611,34.60820895522388,0.0
157,10003861.0,Leeds Beckett University,England,2018/19,All undergraduate,9455,8460,0,52.77700251186157,47.22299748813843,0.0
158,10003861.0,Leeds Beckett University,England,2018/19,First degree,8820,8100,0,52.12765957446809,47.87234042553192,0.0
159,10003861.0,Leeds Beckett University,England,2018/19,Other undergraduate,635,360,0,63.81909547738693,36.18090452261307,0.0
160,10003861.0,Leeds Beckett University,England,2018/19,Postgraduate (research),285,305,0,48.30508474576271,51.69491525423729,0.0
161,10003861.0,Leeds Beckett University,England,2018/19,Postgraduate (taught),3220,1545,0,67.57607555089193,32.423924449108085,0.0
162,10003863.0,Leeds Trinity University,England,2018/19,All,2200,1215,0,64.42166910688141,35.57833089311859,0.0
163,10003863.0,Leeds Trinity University,England,2018/19,All postgraduate,480,225,0,68.08510638297872,31.914893617021278,0.0
164,10003863.0,Leeds Trinity University,England,2018/19,All undergraduate,1720,990,0,63.46863468634686,36.53136531365313,0.0
165,10003863.0,Leeds Trinity University,England,2018/19,First degree,1625,980,0,62.38003838771593,37.61996161228407,0.0
166,10003863.0,Leeds Trinity University,England,2018/19,Other undergraduate,95,10,0,90.47619047619048,9.523809523809524,0.0
167,10003863.0,Leeds Trinity University,England,2018/19,Postgraduate (research),25,30,0,45.45454545454545,54.54545454545454,0.0
168,10003863.0,Leeds Trinity University,England,2018/19,Postgraduate (taught),455,195,0,70.0,30.0,0.0
169,10003945.0,The Liverpool Institute for Performing Arts,England,2018/19,All,465,355,0,56.70731707317073,43.292682926829265,0.0
170,10003945.0,The Liverpool Institute for Performing Arts,England,2018/19,All postgraduate,5,5,0,50.0,50.0,0.0
171,10003945.0,The Liverpool Institute for Performing Arts,England,2018/19,All undergraduate,460,355,0,56.44171779141104,43.558282208588956,0.0
172,10003945.0,The Liverpool Institute for Performing Arts,England,2018/19,First degree,460,355,0,56.44171779141104,43.558282208588956,0.0
173,10003945.0,The Liverpool Institute for Performing Arts,England,2018/19,Postgraduate (taught),5,5,0,50.0,50.0,0.0
174,10003956.0,Liverpool Hope University,England,2018/19,All,3540,1550,10,69.41176470588235,30.392156862745097,0.19607843137254902
175,10003956.0,Liverpool Hope University,England,2018/19,All postgraduate,875,360,0,70.8502024291498,29.1497975708502,0.0
176,10003956.0,Liverpool Hope University,England,2018/19,All undergraduate,2665,1190,10,68.95213454075032,30.78913324708926,0.258732212160414
177,10003956.0,Liverpool Hope University,England,2018/19,First degree,2665,1190,10,68.95213454075032,30.78913324708926,0.258732212160414
178,10003956.0,Liverpool Hope University,England,2018/19,Postgraduate (research),75,35,0,68.18181818181817,31.818181818181817,0.0
179,10003956.0,Liverpool Hope University,England,2018/19,Postgraduate (taught),800,325,0,71.11111111111111,28.888888888888886,0.0
180,10003957.0,Liverpool John Moores University,England,2018/19,All,13015,11020,0,54.1501976284585,45.8498023715415,0.0
181,10003957.0,Liverpool John Moores University,England,2018/19,All postgraduate,2810,1755,0,61.5553121577218,38.4446878422782,0.0
182,10003957.0,Liverpool John Moores University,England,2018/19,All undergraduate,10200,9265,0,52.40174672489083,47.59825327510917,0.0
183,10003957.0,Liverpool John Moores University,England,2018/19,First degree,9580,8900,0,51.83982683982684,48.16017316017316,0.0
184,10003957.0,Liverpool John Moores University,England,2018/19,Other undergraduate,620,365,0,62.944162436548226,37.055837563451774,0.0
185,10003957.0,Liverpool John Moores University,England,2018/19,Postgraduate (research),220,290,0,43.13725490196079,56.86274509803921,0.0
186,10003957.0,Liverpool John Moores University,England,2018/19,Postgraduate (taught),2590,1465,0,63.871763255240445,36.128236744759555,0.0
187,10003958.0,Liverpool School of Tropical Medicine,England,2018/19,All,295,130,0,69.41176470588235,30.58823529411765,0.0
188,10003958.0,Liverpool School of Tropical Medicine,England,2018/19,All postgraduate,295,130,0,69.41176470588235,30.58823529411765,0.0
189,10003958.0,Liverpool School of Tropical Medicine,England,2018/19,Postgraduate (research),35,20,0,63.63636363636363,36.36363636363637,0.0
190,10003958.0,Liverpool School of Tropical Medicine,England,2018/19,Postgraduate (taught),260,110,0,70.27027027027027,29.72972972972973,0.0
191,10004048.0,London Metropolitan University,England,2018/19,All,5990,3205,0,65.14410005437738,34.85589994562262,0.0
192,10004048.0,London Metropolitan University,England,2018/19,All postgraduate,1435,675,0,68.00947867298578,31.990521327014214,0.0
193,10004048.0,London Metropolitan University,England,2018/19,All undergraduate,4555,2530,0,64.2907551164432,35.70924488355681,0.0
194,10004048.0,London Metropolitan University,England,2018/19,First degree,4460,2485,0,64.21886249100072,35.78113750899928,0.0
195,10004048.0,London Metropolitan University,England,2018/19,Other undergraduate,95,45,0,67.85714285714286,32.142857142857146,0.0
196,10004048.0,London Metropolitan University,England,2018/19,Postgraduate (research),100,70,0,58.82352941176471,41.17647058823529,0.0
197,10004048.0,London Metropolitan University,England,2018/19,Postgraduate (taught),1335,605,0,68.81443298969072,31.185567010309278,0.0
198,10004063.0,London School of Economics and Political Science,England,2018/19,All,6335,5505,10,53.459915611814345,46.45569620253164,0.08438818565400844
199,10004063.0,London School of Economics and Political Science,England,2018/19,All postgraduate,3885,2905,5,57.17439293598234,42.75202354672553,0.07358351729212656
200,10004063.0,London School of Economics and Political Science,England,2018/19,All undergraduate,2445,2600,5,48.415841584158414,51.48514851485149,0.09900990099009901
201,10004063.0,London School of Economics and Political Science,England,2018/19,First degree,2445,2600,5,48.415841584158414,51.48514851485149,0.09900990099009901
202,10004063.0,London School of Economics and Political Science,England,2018/19,Postgraduate (research),220,275,0,44.44444444444444,55.55555555555556,0.0
203,10004063.0,London School of Economics and Political Science,England,2018/19,Postgraduate (taught),3665,2630,5,58.17460317460318,41.74603174603175,0.07936507936507936
204,10004078.0,London South Bank University,England,2018/19,All,10080,7035,5,58.87850467289719,41.092289719626166,0.02920560747663551
205,10004078.0,London South Bank University,England,2018/19,All postgraduate,2940,1580,0,65.04424778761062,34.95575221238938,0.0
206,10004078.0,London South Bank University,England,2018/19,All undergraduate,7140,5455,5,56.666666666666664,43.2936507936508,0.03968253968253968
207,10004078.0,London South Bank University,England,2018/19,First degree,5360,4665,5,53.43968095712861,46.51046859421734,0.049850448654037885
208,10004078.0,London South Bank University,England,2018/19,Other undergraduate,1775,790,0,69.20077972709552,30.79922027290448,0.0
209,10004078.0,London South Bank University,England,2018/19,Postgraduate (research),125,140,0,47.16981132075472,52.83018867924528,0.0
210,10004078.0,London South Bank University,England,2018/19,Postgraduate (taught),2815,1440,0,66.15746180963572,33.84253819036428,0.0
211,10004113.0,Loughborough University,England,2018/19,All,7385,10640,0,40.97087378640777,59.02912621359223,0.0
212,10004113.0,Loughborough University,England,2018/19,All postgraduate,2000,2365,0,45.81901489117984,54.18098510882016,0.0
213,10004113.0,Loughborough University,England,2018/19,All undergraduate,5390,8275,0,39.443834613977316,60.556165386022684,0.0
214,10004113.0,Loughborough University,England,2018/19,First degree,5390,8275,0,39.443834613977316,60.556165386022684,0.0
215,10004113.0,Loughborough University,England,2018/19,Postgraduate (research),465,650,0,41.70403587443946,58.29596412556054,0.0
216,10004113.0,Loughborough University,England,2018/19,Postgraduate (taught),1535,1715,0,47.23076923076923,52.76923076923077,0.0
217,10004180.0,The Manchester Metropolitan University,England,2018/19,All,19465,13580,5,58.89561270801815,41.089258698941,0.0151285930408472
